COMPONENT_NAME,COMPONENT_TYPE,HELM_TEMPLATE,NAMESPACE,DEPENDENCIES
invoice-v1,business,with-health,restaurant,config-server-v1;postgres-db;kafka-server
menu-v1,business,with-health,restaurant,config-server-v1;mysql-db
menu-v2,business,with-health,restaurant,mysql-db
order-hub-v1,business,with-health,restaurant,config-server-v1;redis-server
payment-v1,business,with-health,restaurant,config-server-v1;mysql-db;kafka-server
product-v1,business,default,restaurant,mysql-db
rules-processor-v1,business,with-health,restaurant,config-server-v1
table-placement-v1,business,with-health,restaurant,config-server-v1;mongo-db
api-gateway-v1,platform,with-health,restaurant,undefined
auth-adapter-v1,platform,with-health,restaurant,undefined
config-server-v1,platform,with-health,restaurant,undefined
mock-service-v1,platform,with-health,restaurant,undefined
keycloak-server,runtime,default,restaurant,undefined
redis-server,runtime,default,restaurant,undefined
zookeeper-server,runtime,default,restaurant,undefined
kafka-server,runtime,default,restaurant,zookeeper-server
mongo-db,database,database,restaurant,undefined
mysql-db,database,database,restaurant,undefined
postgres-db,database,database,restaurant,undefined
